iter,loss,updates,lr,mae,over,greedy,profile
50000,0.1942,100,6.73626261060329e-06,,,,"{""1"": 1.002, ""5"": 4.846, ""10"": 9.643, ""15"": 12.446, ""20"": 13.47, ""25"": 13.922, ""30"": 14.152}"
50500,0.19431,101,6.407715185993847e-06,,,,"{""1"": 1.004, ""5"": 4.846, ""10"": 9.646, ""15"": 12.446, ""20"": 13.47, ""25"": 13.921, ""30"": 14.152}"
51000,0.19368,102,6.095191989722489e-06,,,,"{""1"": 1.001, ""5"": 4.837, ""10"": 9.642, ""15"": 12.438, ""20"": 13.464, ""25"": 13.915, ""30"": 14.146}"
51500,0.19335,103,5.797911472841924e-06,,,,"{""1"": 1.006, ""5"": 4.834, ""10"": 9.643, ""15"": 12.435, ""20"": 13.459, ""25"": 13.91, ""30"": 14.141}"
52000,0.19328,104,5.51513020485554e-06,,,,"{""1"": 1.001, ""5"": 4.839, ""10"": 9.643, ""15"": 12.433, ""20"": 13.456, ""25"": 13.907, ""30"": 14.138}"
52500,0.19307,105,5.246141014567918e-06,,,,"{""1"": 1.0, ""5"": 4.845, ""10"": 9.643, ""15"": 12.438, ""20"": 13.459, ""25"": 13.909, ""30"": 14.14}"
53000,0.19314,106,4.990271221611636e-06,,,,"{""1"": 0.998, ""5"": 4.849, ""10"": 9.644, ""15"": 12.444, ""20"": 13.465, ""25"": 13.914, ""30"": 14.144}"
53500,0.19335,107,4.746880954227704e-06,,,,"{""1"": 1.001, ""5"": 4.856, ""10"": 9.656, ""15"": 12.455, ""20"": 13.477, ""25"": 13.927, ""30"": 14.156}"
54000,0.19322,108,4.515361549092842e-06,,,,"{""1"": 1.008, ""5"": 4.844, ""10"": 9.672, ""15"": 12.468, ""20"": 13.49, ""25"": 13.939, ""30"": 14.169}"
54500,0.1936,109,4.295134029191855e-06,,,,"{""1"": 1.014, ""5"": 4.835, ""10"": 9.667, ""15"": 12.463, ""20"": 13.485, ""25"": 13.934, ""30"": 14.164}"
55000,0.19397,110,4.085647655928729e-06,,,,"{""1"": 0.997, ""5"": 4.841, ""10"": 9.678, ""15"": 12.479, ""20"": 13.5, ""25"": 13.95, ""30"": 14.18}"
55500,0.19423,111,3.8863785518555e-06,,,,"{""1"": 0.996, ""5"": 4.848, ""10"": 9.676, ""15"": 12.488, ""20"": 13.513, ""25"": 13.963, ""30"": 14.194}"
56000,0.19528,112,3.696828390574729e-06,,,,"{""1"": 1.003, ""5"": 4.857, ""10"": 9.679, ""15"": 12.498, ""20"": 13.526, ""25"": 13.977, ""30"": 14.208}"
56500,0.19591,113,3.516523150539324e-06,,,,"{""1"": 0.992, ""5"": 4.857, ""10"": 9.674, ""15"": 12.497, ""20"": 13.528, ""25"": 13.98, ""30"": 14.211}"
57000,0.1953,114,3.3450119296331577e-06,,,,"{""1"": 1.0, ""5"": 4.845, ""10"": 9.666, ""15"": 12.491, ""20"": 13.524, ""25"": 13.978, ""30"": 14.209}"
57500,0.19618,115,3.18186581756815e-06,,,,"{""1"": 1.003, ""5"": 4.847, ""10"": 9.668, ""15"": 12.489, ""20"": 13.523, ""25"": 13.978, ""30"": 14.21}"
58000,0.19609,116,3.0266768232778603e-06,,,,"{""1"": 1.001, ""5"": 4.848, ""10"": 9.669, ""15"": 12.483, ""20"": 13.516, ""25"": 13.971, ""30"": 14.203}"
58500,0.19513,117,2.879056854625253e-06,,,,"{""1"": 1.0, ""5"": 4.839, ""10"": 9.664, ""15"": 12.475, ""20"": 13.506, ""25"": 13.961, ""30"": 14.194}"
59000,0.19439,118,2.738636747873132e-06,,,,"{""1"": 1.003, ""5"": 4.848, ""10"": 9.674, ""15"": 12.485, ""20"": 13.513, ""25"": 13.966, ""30"": 14.198}"
59500,0.19501,119,2.605065344490162e-06,,,,"{""1"": 1.003, ""5"": 4.853, ""10"": 9.678, ""15"": 12.493, ""20"": 13.521, ""25"": 13.974, ""30"": 14.206}"
